City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,port hedland,-20.3167,118.5667,26.03,25,3,4.63,AU,1688968286
214,shakhtinsk,49.71,72.5872,28.85,25,7,2.34,KZ,1688968856
215,al bayda,32.7627,21.7551,21.4,68,8,3.98,LY,1688968856
216,haiku-pauwela,20.9219,-156.3051,24.47,80,79,4.02,US,1688968857
217,aykhal,66.0,111.5,26.34,32,1,10.55,RU,1688968857
218,tazovsky,67.4667,78.7,10.81,56,78,5.72,RU,1688968857
219,villa madero,19.4,-101.2667,14.78,95,100,1.45,MX,1688968857
220,san antonio de pale,-1.4014,5.6325,23.45,81,100,3.46,GQ,1688968858
221,mananjary,-21.2167,48.3333,22.23,73,73,1.68,MG,1688968859
222,laguna de perlas,12.3429,-83.6712,25.92,90,89,4.15,NI,1688968860
223,zabol,32.25,67.25,28.65,9,0,8.04,AF,1688968861
224,mogocha,53.7333,119.7667,28.59,26,96,1.41,RU,1688968862
225,niquero,20.0431,-77.5828,27.11,80,1,1.54,CU,1688968862
226,serenje,-13.2325,30.2352,17.04,58,0,2.33,ZM,1688968863
227,lihue,21.9789,-159.3672,23.53,81,86,5.67,US,1688968864
228,ulaangom,49.9811,92.0667,21.79,51,80,4.85,MN,1688968865
229,cody,44.5263,-109.0565,21.11,68,43,3.13,US,1688968865
230,darwin,-12.4611,130.8418,31.99,43,0,4.12,AU,1688968866
231,mucur,39.0615,34.3829,18.01,64,89,5.79,TR,1688968867
232,kodiak,57.79,-152.4072,10.73,87,100,3.6,US,1688968868
233,madalena,41.2162,-8.3345,16.42,91,0,1.24,PT,1688968868
234,qaqortoq,60.7167,-46.0333,9.89,68,38,0.79,GL,1688968868
235,ola,59.5833,151.2833,12.42,69,100,6.69,RU,1688968869
236,urengoy,65.9667,78.3667,14.97,62,96,2.41,RU,1688968869
237,lautoka,-17.6167,177.4667,24.14,77,32,2.21,FJ,1688968869
238,murzuq,25.9155,13.9184,30.03,27,0,4.06,LY,1688968870
239,gbarnga,6.9956,-9.4722,21.89,98,99,0.77,LR,1688968870
240,szubin,53.0097,17.74,22.88,63,0,3.6,PL,1688968870
241,kembe,4.6228,21.8865,22.55,84,54,0.09,CF,1688968870
242,hammerfest,70.6634,23.6821,11.25,71,0,2.57,NO,1688968871
243,rodna,47.4167,24.8167,20.65,64,12,1.67,RO,1688968871
244,kasongo-lunda,-6.4667,16.8167,20.38,53,71,0.84,CD,1688968871
245,vadso,70.0744,29.7487,14.49,81,0,2.06,NO,1688968872
246,am timan,11.0297,20.2827,25.08,79,91,1.47,TD,1688968872
247,island harbour,50.724,-1.2758,16.84,90,50,0.89,GB,1688968873
248,labuan,5.2767,115.2417,29.15,72,45,4.99,MY,1688968818
249,marsciano,42.9059,12.3359,27.66,74,0,0.8,IT,1688968873
250,puerto baquerizo moreno,-0.9,-89.6,24.86,77,98,4.79,EC,1688968873
251,bamboo flat,11.7,92.7167,30.05,74,75,5.14,IN,1688968874
252,xining,36.6167,101.7667,28.88,41,100,3.02,CN,1688968745
253,nagqu,31.5,92.0,17.87,43,100,3.09,CN,1688968874
254,gaspe,48.8334,-64.4819,17.59,95,79,1.97,CA,1688968874
255,fidenza,44.864,10.0667,26.67,75,0,0.77,IT,1688968875
256,guerrero negro,27.9769,-114.0611,18.17,82,4,4.51,MX,1688968875
257,san patricio,28.017,-97.5169,28.94,84,0,5.44,US,1688968875
258,kununurra,-15.7667,128.7333,28.99,30,9,4.63,AU,1688968876
259,pisco,-13.7,-76.2167,15.57,83,44,1.4,PE,1688968876
260,haapsalu,58.9431,23.5414,16.97,62,1,2.38,EE,1688968876
261,bria,6.5423,21.9863,22.16,90,67,0.42,CF,1688968876
262,tukrah,32.5341,20.5791,25.23,74,1,5.42,LY,1688968876
263,dryden,49.7833,-92.7503,10.46,85,4,2.88,CA,1688968877
264,chhatapur,26.2167,87.0167,35.06,53,93,3.23,IN,1688968788
265,baidoa,3.1138,43.6498,25.66,61,30,9.1,SO,1688968878
266,luimneach,52.6647,-8.6231,15.04,97,100,2.57,IE,1688968878
267,cranbrook,49.4999,-115.7688,15.92,70,57,2.38,CA,1688968878
268,inyonga,-6.7167,32.0667,20.93,46,20,2.02,TZ,1688968878
269,lethem,3.3803,-59.7968,23.53,90,98,2.71,GY,1688968879
270,metlili chaamba,32.2667,3.6333,32.97,17,0,2.49,DZ,1688968879
